Unnamed: 0,ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,Year,Updated On,Latitude,Longitude,Crime_Code
2803912,9054918,HW199700,03/20/2013 10:05:00 AM,064XX W FULLERTON AVE,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,False,False,2512,25.0,36.0,19.0,06,2013,02/04/2016 06:33:39 AM,41.923672617,-87.786301606,31
3220814,9745980,HX395937,08/20/2014 09:10:00 PM,049XX W LAKE ST,2024,NARCOTICS,POSS: HEROIN(WHITE),STREET,True,False,1532,15.0,28.0,25.0,18,2014,02/04/2016 06:33:39 AM,41.88684042,-87.749171284,17
2852209,9131207,HW276169,05/12/2013 01:00:00 PM,122XX S BISHOP ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,524,5.0,34.0,53.0,07,2013,02/04/2016 06:33:39 AM,41.671401964,-87.657531742,16
3195755,9704615,HX354992,07/21/2014 08:14:00 PM,017XX E 71ST PL,1365,CRIMINAL TRESPASS,TO RESIDENCE,APARTMENT,False,False,324,3.0,5.0,43.0,26,2014,02/04/2016 06:33:39 AM,41.765188256,-87.581841365,7
3029545,9415834,HW559337,12/05/2013 07:45:00 AM,073XX S SANGAMON ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,False,733,7.0,17.0,68.0,14,2013,02/04/2016 06:33:39 AM,41.760903375,-87.647943398,6
3113704,9566424,HX217296,04/09/2014 07:00:00 AM,025XX N MILWAUKEE AVE,0820,THEFT,$500 AND UNDER,SIDEWALK,False,False,1414,14.0,35.0,22.0,06,2014,02/04/2016 06:33:39 AM,41.927733552,-87.705222274,31
6064742,10636392,HZ388670,08/12/2016 08:00:00 AM,028XX N CLARK ST,0820,THEFT,$500 AND UNDER,OTHER,False,False,1934,19.0,44.0,6.0,06,2016,08/19/2016 03:56:01 PM,41.933582379,-87.645517082,31
6133410,10667191,HZ417915,09/02/2016 12:00:00 PM,100XX W OHARE ST,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,AIRPORT VENDING ESTABLISHMENT,False,False,1651,16.0,41.0,76.0,11,2016,09/09/2016 03:51:29 PM,41.976290414,-87.905227221,8
2625897,8767009,HV441541,08/22/2012 10:30:00 AM,012XX S INDEPENDENCE BLVD,1821,NARCOTICS,MANU/DEL:CANNABIS 10GM OR LESS,OTHER,True,False,1011,10.0,24.0,29.0,18,2012,02/04/2016 06:33:39 AM,41.865546711,-87.719503114,17
3433337,10196815,HY384348,08/15/2015 10:30:00 PM,087XX S BURLEY AVE,0890,THEFT,FROM BUILDING,RESIDENCE,False,False,424,4.0,7.0,46.0,06,2015,08/24/2015 03:30:37 PM,41.73658194,-87.545821802,31
863747,9962830,HY151945,02/14/2015 09:15:00 PM,020XX W CHICAGO AVE,0860,THEFT,RETAIL THEFT,GROCERY FOOD STORE,True,False,1221,12.0,1.0,24.0,06,2015,08/17/2015 03:03:40 PM,41.895896023,-87.677913394,31
3211575,9731040,HX380972,08/09/2014 07:20:00 PM,029XX W FULTON ST,0560,ASSAULT,SIMPLE,ALLEY,False,False,1222,12.0,27.0,27.0,08A,2014,02/04/2016 06:33:39 AM,41.886496975,-87.699915689,1
3536168,10373141,HZ106734,01/07/2016 01:00:00 AM,063XX W ROSCOE ST,0820,THEFT,$500 AND UNDER,RESIDENCE,False,True,1633,16.0,36.0,17.0,06,2016,01/15/2016 12:18:25 PM,41.942019424,-87.784347422,31
3061553,9472132,HX125199,01/23/2014 05:47:00 PM,045XX S DAMEN AVE,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,True,False,924,9.0,12.0,61.0,06,2014,02/04/2016 06:33:39 AM,41.811606934,-87.675174895,31
2515133,8595059,HV269050,05/03/2012 08:40:00 AM,053XX S MAY ST,1320,CRIMINAL DAMAGE,TO VEHICLE,RESIDENTIAL YARD (FRONT/BACK),False,False,934,9.0,16.0,61.0,14,2012,02/04/2016 06:33:39 AM,41.797242047,-87.653739504,6
2749031,8962756,HW111242,01/09/2013 06:45:00 PM,019XX N CLARK ST,0810,THEFT,OVER $500,STREET,False,False,1814,18.0,43.0,7.0,06,2013,02/04/2016 06:33:39 AM,41.917402098,-87.635454463,31
